Location,Name,Total Equity
California,JUUL Labs,"15,047"
North Carolina,Epic Games,"4,375"
Pennsylvania,goPuff,"3,397"
Florida,Magic Leap,"2,984"
New York,Articulate,"1,500"
Washington,Tanium,"1,170"
Massachusetts,DataRobot,"1,051"
Georgia,OneTrust,931
New Jersey,Attentive,865
Ohio,Olive,850
Texas,Workrise,723
Illinois,Avant,684
Michigan,StockX,520
Minnesota,Arctic Wolf Networks,498
Utah,MX Technologies,454
Virginia,Mission Lane,407
Colorado,DispatchHealth,403
Kansas,C2FO,400
Missouri,EquipmentShare,364
Nevada,Sightline,353
Wisconsin,Fetch Rewards,339
DC,Pie Insurance,306
Oregon,Dutchie,253
Nebraska,Hudl,226
Connecticut,Cedar Gate Technologies,220
Arizona,CampusLogic,193
Vermont,DealerPolicy,190
Tennessee,Monogram Health,180
Maryland,Immuta,160
Rhode Island,Virgin Pulse,125
Indiana,Greenlight Guru,124
Louisiana,Ready Responders,111
Maine,Tilson Technology Management,109
Arkansas,One Country,100
Kentucky,Climavision,100
Iowa,Involta,80
Delaware,Locus,79
North Dakota,Bushel,77
New Mexico,Descartes Labs,58
Idaho,Tackle.io,56
New Hampshire,Senet,48
South Carolina,Commerce Guys,46
Hawaii,Terraformation,35
Alabama,Meazure Learning,30
Montana,Submittable,28
West Virginia,Skylake Wireless*,19
Oklahoma,Carpay,10
Wyoming,Language I/O,5.5
South Dakota,Query.ai,4.6
Mississippi,SchoolStatus,4
Alaska,60Hertz Energy,2
